txn_ref,value_date,description,credit_amount_inr,currency
BNK3FD98C211CF25B,2026-07-17,NEFT CREDIT REF 399495384,37828.00,INR
BNK392431B9CE665D,2026-07-03,NEFT CR-SBIN1061623001,9643.00,INR
BNKA35B3ED9DD6955,2026-06-30,NEFT CR-AXIB3166441296,42935.43,INR
BNK8B6F6FAF04A457,2026-07-19,NEFT CR-AXIB8265976292,29527.00,INR
BNKC0B40641B36D55,2026-07-13,NEFT CR-SBIN7561791081,28532.00,INR
BNK699A93E0C7205E,2026-08-03,NEFT CREDIT REF 695004029,25181.00,INR
BNK4C60042BD16D58,2026-07-05,NEFT CR-HDFC4046573726,12062.67,INR
BNK61FAD219AB355D,2026-07-14,NEFT CR-HDFC3486181176,22775.00,INR
BNK833218D926ED5E,2026-07-21,NEFT CR-ICIC6222899355,41104.00,INR
BNK8D8A3F016F7C5D,2026-08-02,NEFT CR-HDFC5122868341,33258.00,INR
BNK4BB3FBC9EC1F52,2026-07-23,NEFT CR-ICIC1724808973,6473.60,INR
BNKACCF9AA2702F5C,2026-07-17,NEFT CR-HDFC3981356973,28449.00,INR
BNK5EFF87756A9C5A,2026-07-27,NEFT CR-UTIB2693647710,5335.00,INR
BNK55718EF1661B55,2026-08-09,NEFT CR-ICIC6020250565,21415.00,INR
BNK529A772CBF0553,2026-08-13,NEFT CR-ICIC4632621061,17460.36,INR
BNK16CC87712DFF5F,2026-08-09,NEFT CR-AXIB1125621611,11509.20,INR
BNKF3DD7EB4948654,2026-07-02,NEFT CR-SBIN2142763541,24438.44,INR
BNKE0440A5CE9EC5F,2026-08-03,NEFT CREDIT REF 834812112,34881.00,INR
BNKCC3BA122DC3659,2026-08-12,NEFT CR-AXIB7642247673,2147.77,INR
BNK6CDE2B367F3C5B,2026-07-31,NEFT CR-UTIB7022700424,41771.00,INR
BNK60F1EB5DC82255,2026-07-29,NEFT CREDIT REF 735665002,17200.00,INR
BNKEE2BC95B2CC65E,2026-07-16,NEFT CR-ICIC2758209804,38040.00,INR
BNK8790896BBBE650,2026-08-08,NEFT CR-AXIB9683484693,14405.60,INR
BNK2182241971B85A,2026-07-29,NEFT CR-ICIC6931059778,24440.00,INR
BNK619227F002F15B,2026-08-09,NEFT CR-HDFC1818078360,20856.00,INR
BNK69641A7A4C5350,2026-07-19,NEFT CR-SBIN4184299129,43938.00,INR
