ledger_entry_id,invoice_ref,posted_date,gross_amount_inr,fee_amount_inr,tax_amount_inr,refund_amount_inr,currency,narration
LDG0B00810CB8865D,INV-6D56C875ED60,2026-07-30,19303.00,0.00,0.00,0.00,INR,INVOICE INV-6D56C875ED60 SETTLEMENT
LDG60E00C0DF62E5E,INV-63B85351F01F,2026-08-01,35772.00,13.18,2.37,0.00,INR,INVOICE INV-63B85351F01F SETTLEMENT
LDG5DD46E56B8A55B,INV-F37533D075E7,2026-07-05,14932.00,0.00,0.00,0.00,INR,INVOICE INV-F37533D075E7 SETTLEMENT
LDGB7999E6232C750,INV-857E11D2E214,2026-07-27,1133.00,0.00,0.00,0.00,INR,INVOICE INV-857E11D2E214 SETTLEMENT
LDGB63EC4CC307B55,INV-309E798C66E8,2026-07-06,21220.00,0.00,0.00,0.00,INR,INVOICE INV-309E798C66E8 SETTLEMENT
LDG39549A107F2752,INV-B310AB8E861D,2026-07-23,9180.00,0.00,0.00,0.00,INR,INVOICE INV-B310AB8E861D SETTLEMENT
LDGA48C92AC1D4852,INV-C6A3720244F5,2026-08-14,29939.00,0.00,0.00,0.00,INR,INVOICE INV-C6A3720244F5 SETTLEMENT
LDGBB65FF9E853453,INV-8CA74348C1D9,2026-07-03,18191.00,0.00,0.00,0.00,INR,INVOICE INV-8CA74348C1D9 SETTLEMENT
LDGBA7D796321AA5A,INV-FB3771104F11,2026-07-17,42623.00,10.77,1.93,10229.52,INR,INVOICE INV-FB3771104F11 SETTLEMENT
LDG76D248A0C51754,INV-2CCBF558E26F,2026-07-09,31174.00,0.00,0.00,0.00,INR,INVOICE INV-2CCBF558E26F SETTLEMENT
LDGD74853739CCC5A,INV-43FA5EBA6E5B,2026-07-05,18710.00,0.00,0.00,0.00,INR,INVOICE INV-43FA5EBA6E5B SETTLEMENT
LDG4E290A9EC6D159,INV-CA18F0F3D344,2026-07-28,10526.00,0.00,0.00,0.00,INR,INVOICE INV-CA18F0F3D344 SETTLEMENT
LDG4D0E8211151A59,INV-931FA46EC44F,2026-07-16,31322.00,2.39,0.43,13468.46,INR,INVOICE INV-931FA46EC44F SETTLEMENT
LDG427D8C8E33DF55,INV-ADC3AE609B43,2026-07-21,44031.00,0.00,0.00,0.00,INR,INVOICE INV-ADC3AE609B43 SETTLEMENT
LDG22DE516FFD0A5C,INV-3AE927D3B201,2026-07-22,3037.00,0.00,0.00,0.00,INR,INVOICE INV-3AE927D3B201 SETTLEMENT
LDGC0B7AB549B2955,INV-9AED01D27AA0,2026-08-06,29216.00,0.00,0.00,0.00,INR,INVOICE INV-9AED01D27AA0 SETTLEMENT
LDG614A92B9A51358,INV-A8EFE71B5814,2026-07-31,13550.00,5.01,0.90,0.00,INR,INVOICE INV-A8EFE71B5814 SETTLEMENT
LDGD541A6BA5C275C,INV-B12EDB860A0C,2026-08-06,9073.00,0.00,0.00,0.00,INR,INVOICE INV-B12EDB860A0C SETTLEMENT
LDGF68DD69B9DA753,INV-FC8ED5B4594C,2026-07-12,6640.00,0.00,0.00,0.00,INR,INVOICE INV-FC8ED5B4594C SETTLEMENT
LDG12CEDE5F5C985D,INV-20E423741B6C,2026-08-05,5143.00,0.00,0.00,0.00,INR,INVOICE INV-20E423741B6C SETTLEMENT
LDG4FADC1E28E7D58,INV-F68637069161,2026-07-03,14873.00,0.00,0.00,0.00,INR,INVOICE INV-F68637069161 SETTLEMENT
LDG412061B8783452,INV-5BD59EC44CD0,2026-07-15,20702.00,0.00,0.00,0.00,INR,INVOICE INV-5BD59EC44CD0 SETTLEMENT
LDG0EE015B2015557,INV-A27A8B0590E3,2026-07-17,29723.00,5.25,0.94,0.00,INR,INVOICE INV-A27A8B0590E3 SETTLEMENT
LDGBA18A13F4B725B,INV-DDE48E8CEE5D,2026-07-16,46452.00,0.00,0.00,0.00,INR,INVOICE INV-DDE48E8CEE5D SETTLEMENT
LDGF413D978DF0452,INV-F426C6AB18A6,2026-07-09,43454.00,0.00,0.00,0.00,INR,INVOICE INV-F426C6AB18A6 SETTLEMENT
LDGAD35EB00CD2259,INV-E391BA9C1532,2026-07-02,35257.00,0.00,0.00,0.00,INR,INVOICE INV-E391BA9C1532 SETTLEMENT
LDG4BC8A35089B85F,INV-2D5577A99D63,2026-07-12,26886.00,0.00,0.00,0.00,INR,INVOICE INV-2D5577A99D63 SETTLEMENT
LDGAB254837779457,INV-535F5D46055F,2026-08-13,29062.00,11.94,2.14,0.00,INR,INVOICE INV-535F5D46055F SETTLEMENT
LDG2200A367AFF45C,INV-43FDAAF7C143,2026-07-18,40228.00,0.00,0.00,0.00,INR,INVOICE INV-43FDAAF7C143 SETTLEMENT
LDG5D19AFE890E551,INV-05601761E8AA,2026-07-11,7236.00,0.00,0.00,0.00,INR,INVOICE INV-05601761E8AA SETTLEMENT
LDGD9AF75FD00715B,INV-4E545426C8F2,2026-07-26,14371.00,11.31,2.03,4311.30,INR,INVOICE INV-4E545426C8F2 SETTLEMENT
LDGBB9E469417C859,INV-739FCBD20747,2026-08-02,20653.00,0.00,0.00,0.00,INR,INVOICE INV-739FCBD20747 SETTLEMENT
LDG618C86C31FAF52,INV-B7A4F999ED73,2026-08-02,8741.00,0.00,0.00,0.00,INR,INVOICE INV-B7A4F999ED73 SETTLEMENT
LDG8003E403B0F754,INV-D9568C44F871,2026-07-06,28148.00,0.00,0.00,0.00,INR,INVOICE INV-D9568C44F871 SETTLEMENT
LDGCDD24745C9455F,INV-56298BAB8C94,2026-07-30,30950.00,12.87,2.31,0.00,INR,INVOICE INV-56298BAB8C94 SETTLEMENT
LDG5378AF19544C50,INV-DD7293F89B25,2026-07-03,28749.00,0.00,0.00,0.00,INR,INVOICE INV-DD7293F89B25 SETTLEMENT
LDG29ED40A2169358,INV-12153673F16B,2026-07-11,44420.00,0.00,0.00,0.00,INR,INVOICE INV-12153673F16B SETTLEMENT
LDG4F6B4028EB3E57,INV-8E883A75C808,2026-07-23,29077.00,0.00,0.00,0.00,INR,INVOICE INV-8E883A75C808 SETTLEMENT
LDG10063D3301EC5D,INV-23ECEC4CBBBF,2026-08-08,3138.00,2.63,0.47,847.26,INR,INVOICE INV-23ECEC4CBBBF SETTLEMENT
LDG5FD5760FB8F450,INV-5CF0ED4D0A49,2026-07-19,7288.00,0.00,0.00,0.00,INR,INVOICE INV-5CF0ED4D0A49 SETTLEMENT
LDGCC6B991865315B,INV-0DDF9F95C00D,2026-08-07,11496.00,14.40,2.59,4483.44,INR,INVOICE INV-0DDF9F95C00D SETTLEMENT
LDG8811D8F580895E,INV-A242983507F3,2026-08-11,28028.00,0.00,0.00,0.00,INR,INVOICE INV-A242983507F3 SETTLEMENT
LDGDEFB6BC39B315D,INV-B6663A0FADE4,2026-07-10,18307.00,8.87,1.59,0.00,INR,INVOICE INV-B6663A0FADE4 SETTLEMENT
LDG750E5831916F58,INV-D97099715ED9,2026-07-09,13886.00,0.00,0.00,0.00,INR,INVOICE INV-D97099715ED9 SETTLEMENT
LDG411C9CD760755C,INV-9F6CC0577468,2026-07-09,4990.00,0.00,0.00,0.00,INR,INVOICE INV-9F6CC0577468 SETTLEMENT
LDGC5E22746451851,INV-0D8F00609910,2026-07-15,42405.00,0.00,0.00,0.00,INR,INVOICE INV-0D8F00609910 SETTLEMENT
LDG699F69ADC2BE5F,INV-49350F5C2EB8,2026-08-06,46191.00,8.17,1.47,18938.31,INR,INVOICE INV-49350F5C2EB8 SETTLEMENT
LDG333B9ECCFD0E50,INV-D2826E299D6E,2026-07-16,10171.00,2.11,0.37,0.00,INR,INVOICE INV-D2826E299D6E SETTLEMENT
LDG0190AE1CA6AA53,INV-1417CB4BCECA,2026-08-02,14303.00,0.00,0.00,0.00,INR,INVOICE INV-1417CB4BCECA SETTLEMENT
LDG8D5062FBA4FF50,INV-380017B05C95,2026-07-23,12417.00,0.00,0.00,0.00,INR,INVOICE INV-380017B05C95 SETTLEMENT
LDGB5FED41A684457,INV-63F54FF122EC,2026-07-03,38784.00,0.00,0.00,0.00,INR,INVOICE INV-63F54FF122EC SETTLEMENT
LDG83B04B384CD157,INV-DC940DED7438,2026-07-23,25411.00,0.00,0.00,0.00,INR,INVOICE INV-DC940DED7438 SETTLEMENT
LDG8F7864CE4A625C,INV-EC34CE0B331A,2026-07-31,22793.00,0.00,0.00,0.00,INR,INVOICE INV-EC34CE0B331A SETTLEMENT
LDG066B306AB72B5A,INV-560BD1E0693A,2026-08-10,35413.00,10.77,1.93,14519.33,INR,INVOICE INV-560BD1E0693A SETTLEMENT
LDG6264643FF96F5F,INV-B2C8CC116D69,2026-08-08,16746.00,0.00,0.00,0.00,INR,INVOICE INV-B2C8CC116D69 SETTLEMENT
LDG335C09C87B4F51,INV-AC36B5A9480A,2026-07-11,2124.00,0.00,0.00,0.00,INR,INVOICE INV-AC36B5A9480A SETTLEMENT
LDGC032DB1AC58D55,INV-8BC9974557C2,2026-08-03,47664.00,0.00,0.00,0.00,INR,INVOICE INV-8BC9974557C2 SETTLEMENT
LDGC292DF954E5350,INV-4AE4A71C6B22,2026-07-28,45978.00,5.12,0.92,0.00,INR,INVOICE INV-4AE4A71C6B22 SETTLEMENT
LDGE22360A7948A54,INV-F28D87F121D4,2026-08-05,28054.00,0.00,0.00,0.00,INR,INVOICE INV-F28D87F121D4 SETTLEMENT
LDG6119A7311AA352,INV-53B1AC71404A,2026-07-05,6916.00,0.00,0.00,0.00,INR,INVOICE INV-53B1AC71404A SETTLEMENT
LDGAB4976AC71065D,INV-33B41D98C90E,2026-08-12,14505.00,12.46,2.24,0.00,INR,INVOICE INV-33B41D98C90E SETTLEMENT
LDGD71259676AE558,INV-8940EE50E618,2026-07-15,34280.00,14.96,2.69,0.00,INR,INVOICE INV-8940EE50E618 SETTLEMENT
LDG6546962A88E857,INV-069A82C126C1,2026-07-23,17897.00,0.00,0.00,0.00,INR,INVOICE INV-069A82C126C1 SETTLEMENT
LDG7B57117F731154,INV-98AA737B274E,2026-07-20,14767.00,0.00,0.00,0.00,INR,INVOICE INV-98AA737B274E SETTLEMENT
LDG63B44B2495BD51,INV-38E17C24125A,2026-07-07,34444.00,11.51,2.07,0.00,INR,INVOICE INV-38E17C24125A SETTLEMENT
LDG38E9DE0021665C,INV-A9EEF303B869,2026-08-12,39462.00,0.00,0.00,0.00,INR,INVOICE INV-A9EEF303B869 SETTLEMENT
LDG7CD5E60EE1C252,INV-688E0E313554,2026-07-31,27660.00,14.89,2.68,0.00,INR,INVOICE INV-688E0E313554 SETTLEMENT
LDG84293C5A97D75C,INV-68A5C6BAE7BF,2026-07-25,20058.00,0.00,0.00,0.00,INR,INVOICE INV-68A5C6BAE7BF SETTLEMENT
LDG4778709AAA8950,INV-E15E96B72C65,2026-08-13,38235.00,9.68,1.74,12235.20,INR,INVOICE INV-E15E96B72C65 SETTLEMENT
LDG6872112404825E,INV-B3DDE0187FB4,2026-07-26,41620.00,0.00,0.00,0.00,INR,INVOICE INV-B3DDE0187FB4 SETTLEMENT
